dims,m0,m1,m2,total_points,discontinuity_count,max_distance,geom_mean_distance
2,1,1,0,4,0,0,0.000000
2,1,2,0,8,1,3,3.000000
2,1,3,0,16,3,3,3.000000
2,1,4,0,32,7,3,3.000000
2,1,5,0,64,15,3,3.000000
2,1,6,0,128,31,3,3.000000
2,1,7,0,256,63,3,3.000000
2,1,8,0,512,127,3,3.000000
2,1,9,0,1024,255,3,3.000000
2,1,10,0,2048,511,3,3.000000
2,1,11,0,4096,1023,3,3.000000
2,1,12,0,8192,2047,3,3.000000
2,2,1,0,8,1,3,3.000000
2,2,2,0,16,0,0,0.000000
2,2,3,0,32,1,7,7.000000
2,2,4,0,64,3,7,7.000000
2,2,5,0,128,7,7,7.000000
2,2,6,0,256,15,7,7.000000
2,2,7,0,512,31,7,7.000000
2,2,8,0,1024,63,7,7.000000
2,2,9,0,2048,127,7,7.000000
2,2,10,0,4096,255,7,7.000000
2,2,11,0,8192,511,7,7.000000
2,2,12,0,16384,1023,7,7.000000
2,3,1,0,16,3,3,3.000000
2,3,2,0,32,1,7,7.000000
2,3,3,0,64,0,0,0.000000
2,3,4,0,128,1,15,15.000000
2,3,5,0,256,3,15,15.000000
2,3,6,0,512,7,15,15.000000
2,3,7,0,1024,15,15,15.000000
2,3,8,0,2048,31,15,15.000000
2,3,9,0,4096,63,15,15.000000
2,3,10,0,8192,127,15,15.000000
2,3,11,0,16384,255,15,15.000000
2,3,12,0,32768,511,15,15.000000
2,4,1,0,32,7,3,3.000000
2,4,2,0,64,3,7,7.000000
2,4,3,0,128,1,15,15.000000
2,4,4,0,256,0,0,0.000000
2,4,5,0,512,1,31,31.000000
2,4,6,0,1024,3,31,31.000000
2,4,7,0,2048,7,31,31.000000
2,4,8,0,4096,15,31,31.000000
2,4,9,0,8192,31,31,31.000000
2,4,10,0,16384,63,31,31.000000
2,4,11,0,32768,127,31,31.000000
2,4,12,0,65536,255,31,31.000000
2,5,1,0,64,15,3,3.000000
2,5,2,0,128,7,7,7.000000
2,5,3,0,256,3,15,15.000000
2,5,4,0,512,1,31,31.000000
2,5,5,0,1024,0,0,0.000000
2,5,6,0,2048,1,63,63.000000
2,5,7,0,4096,3,63,63.000000
2,5,8,0,8192,7,63,63.000000
2,5,9,0,16384,15,63,63.000000
2,5,10,0,32768,31,63,63.000000
2,5,11,0,65536,63,63,63.000000
2,5,12,0,131072,127,63,63.000000
2,6,1,0,128,31,3,3.000000
2,6,2,0,256,15,7,7.000000
2,6,3,0,512,7,15,15.000000
2,6,4,0,1024,3,31,31.000000
2,6,5,0,2048,1,63,63.000000
2,6,6,0,4096,0,0,0.000000
2,6,7,0,8192,1,127,127.000000
2,6,8,0,16384,3,127,127.000000
2,6,9,0,32768,7,127,127.000000
2,6,10,0,65536,15,127,127.000000
2,6,11,0,131072,31,127,127.000000
2,6,12,0,262144,63,127,127.000000
2,7,1,0,256,63,3,3.000000
2,7,2,0,512,31,7,7.000000
2,7,3,0,1024,15,15,15.000000
2,7,4,0,2048,7,31,31.000000
2,7,5,0,4096,3,63,63.000000
2,7,6,0,8192,1,127,127.000000
2,7,7,0,16384,0,0,0.000000
2,7,8,0,32768,1,255,255.000000
2,7,9,0,65536,3,255,255.000000
2,7,10,0,131072,7,255,255.000000
2,7,11,0,262144,15,255,255.000000
2,7,12,0,524288,31,255,255.000000
