curve,dims,m0,m1,m2,total_points,query_w,query_h,method,num_queries,mean_clusters,p95_clusters,max_clusters,min_clusters
Hamilton-CHI,2,9,9,0,262144,4,4,exhaustive,259081,3.992636,6.00,6,1
Hamilton-CHI,2,9,9,0,262144,8,8,exhaustive,255025,7.984409,13.00,14,1
Hamilton-CHI,2,9,9,0,262144,16,16,exhaustive,247009,15.967936,26.00,26,1
Hamilton-CHI,2,9,9,0,262144,64,4,exhaustive,228541,33.938103,53.00,59,5
Hamilton-CHI,2,9,9,0,262144,4,64,exhaustive,228541,33.955413,53.00,59,5
Hamilton-CHI,2,9,9,0,262144,32,32,exhaustive,231361,31.933541,50.00,54,1
LC-CHI-BRGC,2,9,9,0,262144,4,4,exhaustive,259081,3.992636,6.00,6,1
LC-CHI-BRGC,2,9,9,0,262144,8,8,exhaustive,255025,7.984409,13.00,14,1
LC-CHI-BRGC,2,9,9,0,262144,16,16,exhaustive,247009,15.967936,26.00,26,1
LC-CHI-BRGC,2,9,9,0,262144,64,4,exhaustive,228541,33.938103,53.00,59,5
LC-CHI-BRGC,2,9,9,0,262144,4,64,exhaustive,228541,33.955413,53.00,59,5
LC-CHI-BRGC,2,9,9,0,262144,32,32,exhaustive,231361,31.933541,50.00,54,1
LC-CHI-Balanced,2,9,9,0,262144,4,4,exhaustive,259081,3.992636,6.00,6,1
LC-CHI-Balanced,2,9,9,0,262144,8,8,exhaustive,255025,7.984409,13.00,14,1
LC-CHI-Balanced,2,9,9,0,262144,16,16,exhaustive,247009,15.967936,26.00,26,1
LC-CHI-Balanced,2,9,9,0,262144,64,4,exhaustive,228541,33.938103,53.00,59,5
LC-CHI-Balanced,2,9,9,0,262144,4,64,exhaustive,228541,33.955413,53.00,59,5
LC-CHI-Balanced,2,9,9,0,262144,32,32,exhaustive,231361,31.933541,50.00,54,1
LC-CHI-Random,2,9,9,0,262144,4,4,exhaustive,259081,3.992636,6.00,6,1
LC-CHI-Random,2,9,9,0,262144,8,8,exhaustive,255025,7.984409,13.00,14,1
LC-CHI-Random,2,9,9,0,262144,16,16,exhaustive,247009,15.967936,26.00,26,1
LC-CHI-Random,2,9,9,0,262144,64,4,exhaustive,228541,33.938103,53.00,59,5
LC-CHI-Random,2,9,9,0,262144,4,64,exhaustive,228541,33.955413,53.00,59,5
LC-CHI-Random,2,9,9,0,262144,32,32,exhaustive,231361,31.933541,50.00,54,1
Hamilton-CHI,2,11,7,0,262144,4,4,exhaustive,255625,3.981974,6.00,7,1
Hamilton-CHI,2,11,7,0,262144,8,8,exhaustive,246961,7.961281,13.00,14,1
Hamilton-CHI,2,11,7,0,262144,16,16,exhaustive,229729,15.917207,26.00,29,1
Hamilton-CHI,2,11,7,0,262144,64,4,exhaustive,248125,33.821574,53.00,59,6
Hamilton-CHI,2,11,7,0,262144,4,64,exhaustive,132925,33.918194,53.00,62,5
Hamilton-CHI,2,11,7,0,262144,32,32,exhaustive,195649,31.819933,50.00,58,1
LC-CHI-BRGC,2,11,7,0,262144,4,4,exhaustive,255625,3.986375,6.00,6,1
LC-CHI-BRGC,2,11,7,0,262144,8,8,exhaustive,246961,7.970210,13.00,14,1
LC-CHI-BRGC,2,11,7,0,262144,16,16,exhaustive,229729,15.934902,26.00,26,1
LC-CHI-BRGC,2,11,7,0,262144,64,4,exhaustive,248125,33.786362,53.00,59,5
LC-CHI-BRGC,2,11,7,0,262144,4,64,exhaustive,132925,33.989791,53.00,59,6
LC-CHI-BRGC,2,11,7,0,262144,32,32,exhaustive,195649,31.837030,50.00,54,1
LC-CHI-Balanced,2,11,7,0,262144,4,4,exhaustive,255625,3.986375,6.00,6,1
LC-CHI-Balanced,2,11,7,0,262144,8,8,exhaustive,246961,7.970210,13.00,14,1
LC-CHI-Balanced,2,11,7,0,262144,16,16,exhaustive,229729,15.934902,26.00,26,1
LC-CHI-Balanced,2,11,7,0,262144,64,4,exhaustive,248125,33.786362,53.00,59,5
LC-CHI-Balanced,2,11,7,0,262144,4,64,exhaustive,132925,33.989791,53.00,59,6
LC-CHI-Balanced,2,11,7,0,262144,32,32,exhaustive,195649,31.837030,50.00,54,1
LC-CHI-Random,2,11,7,0,262144,4,4,exhaustive,255625,3.986375,6.00,6,1
LC-CHI-Random,2,11,7,0,262144,8,8,exhaustive,246961,7.970210,13.00,14,1
